gene,treatment,time,value,n,SEM,CI_lower,CI_upper
CCR7,Control,1,1.4057142857142857,21,0.30675200570316646,1.2745142857142857,1.5369142857142857
CCR7,Control,2,1.123333333333333,21,0.24513143003176474,1.0184888888888886,1.2281777777777776
CCR7,Meditation,1,1.139473684210526,19,0.26141319148935055,1.0219279778393349,1.257019390581717
CCR7,Meditation,2,1.043684210526316,19,0.23943757908701266,0.9360199445983381,1.1513484764542938
COX2,Control,1,1.3314285714285716,21,0.2905415338570642,1.2071619047619049,1.4556952380952384
COX2,Control,2,0.9623809523809524,21,0.2100087410318765,0.8725587301587302,1.0522031746031746
COX2,Meditation,1,1.5015789473684207,19,0.34448583617511186,1.346679224376731,1.6564786703601104
COX2,Meditation,2,0.6136842105263159,19,0.14078881352267109,0.5503778393351803,0.6769905817174516
CXCR1,Control,1,1.1394736842105264,19,0.26141319148935066,1.0219279778393353,1.2570193905817175
CXCR1,Control,2,1.1710526315789476,19,0.26865789887473684,1.0502493074792245,1.2918559556786706
CXCR1,Meditation,1,1.1173684210526313,19,0.25634189631958026,1.0021030470914125,1.2326337950138502
CXCR1,Meditation,2,1.3105263157894735,19,0.3006553564935256,1.1753351800554015,1.4457174515235456
IL-6,Control,1,0.8885714285714286,21,0.19390218246683896,0.8056380952380953,0.9715047619047619
IL-6,Control,2,1.0747619047619046,21,0.2345322753631594,0.9744507936507935,1.1750730158730156
IL-6,Meditation,1,1.2110526315789472,19,0.2778345282295592,1.0861229916897506,1.3359822714681437
IL-6,Meditation,2,0.8700000000000001,19,0.19959168846738873,0.7802526315789475,0.9597473684210527
RIPK2,Control,1,1.0638095238095238,21,0.23214226989866998,0.9645206349206349,1.1630984126984127
RIPK2,Control,2,1.0590476190476192,21,0.23110313708802246,0.9602031746031747,1.1578920634920638
RIPK2,Meditation,1,1.2744444444444443,18,0.30038943630406295,1.1356716049382714,1.4132172839506172
RIPK2,Meditation,2,0.9661111111111109,18,0.22771457268211223,0.8609123456790122,1.0713098765432096
TNF,Control,1,1.1223809523809525,21,0.2449236034696353,1.017625396825397,1.227136507936508
TNF,Control,2,1.302857142857143,21,0.28430673699317865,1.181257142857143,1.4244571428571429
TNF,Meditation,1,0.924736842105263,19,0.21214918126872467,0.8293429362880885,1.0201307479224375
TNF,Meditation,2,0.9742105263157894,19,0.22349922283916304,0.8737130193905817,1.074708033240997
